POS,Name,OVR,CType,CYear,CTM,CON/STU,POW/MOV,EYE/CON,FLD/STA,L10,SELL,MC,St,Act/Deact,QS,Sell
RF,Joey Wiemer,66,2024 MLB,2024,Milwaukee Brewers,62,77,72,91,46,0,2,Inactive,Activate,Locked,
SP,Stump Wiedman,51,Snapshot,1887,Detroit Wolverines,61,58,71,110,15,0,0,Inactive,Activate,QS 5,Sell
SP,Jordan Wicks,79,2024 MLB,2024,Chicago Cubs,78,70,82,54,753,0,2,Reserve,Deactivate,Locked,
CL,Bob Wickman,87,SE,2000,Milwaukee Brewers,70,104,69,13,1 839,0,0,Reserve,Deactivate,QS 1 000,Sell
SP,Kemp Wicker,40,RS,1937,New York Yankees,34,69,86,86,25,0,0,Inactive,Activate,QS 5,Sell
SP,Bob Wicker,72,Snapshot,1905,Chicago Cubs,67,78,62,103,228,0,0,Inactive,Activate,QS 100,Sell
SP,Garrett Whitlock,67,2024 MLB,2024,Boston Red Sox,79,67,92,54,53,0,2,Inactive,Activate,Locked,
SP,Mitch White,70,2024 MLB,2024,Toronto Blue Jays,75,73,79,51,497,0,2,Reserve,Deactivate,Locked,
RP,Brendan White,65,2024 MLB,2024,Detroit Tigers,71,75,78,22,64,0,2,Inactive,Activate,Locked,
1B,Bill White,49,RS,1956,New York Giants,56,82,66,74,36,0,0,Inactive,Activate,QS 5,Sell
C,Wes Westrum,44,All-Star,1953,New York Giants,41,86,110,69,24,0,0,Inactive,Activate,QS 5,Sell
1B,Max West,60,Snapshot,1942,Boston Braves,52,95,87,63,55,0,0,Inactive,Activate,QS 25,Sell
SP,Hayden Wesneski,78,2024 MLB,2024,Chicago Cubs,80,73,78,53,622,0,2,Inactive,Activate,Locked,
1B,Vic Wertz,55,Snapshot,1960,Boston Red Sox,69,78,59,61,19,0,0,Inactive,Activate,QS 5,Sell
3B,Don Wert,73,RS,1963,Detroit Tigers,63,74,73,91,212,0,0,Inactive,Activate,QS 100,Sell
SP,Joey Wentz,62,2024 MLB,2024,Detroit Tigers,81,70,70,51,65,0,2,Inactive,Activate,Locked,
SS,Joey Wendle,53,2024 MLB,2024,New York Mets,65,35,55,53,11,0,2,Inactive,Activate,Locked,
RP,Greg Weissert,53,2024 MLB,2024,Boston Red Sox,89,69,69,23,10,0,2,Inactive,Activate,Locked,
RP,Zack Weiss,45,2024 MLB,2024,Minnesota Twins,89,65,53,22,10,0,2,Inactive,Activate,Locked,
RP,Jordan Weems,50,2024 MLB,2024,Washington Nationals,81,69,57,23,10,0,2,Inactive,Activate,Locked,
2B,Rickie Weeks Jr.,47,Snapshot,2008,Milwaukee Brewers,53,74,104,64,92,0,1,Inactive,Activate,QS 5,Sell
RP,Jacob Webb,57,2024 MLB,2024,Baltimore Orioles,93,70,65,15,12,0,2,Inactive,Activate,Locked,
SP,Luke Weaver,57,2024 MLB,2024,New York Yankees,77,61,79,57,9,0,3,Inactive,Activate,Locked,
CF,Farmer Weaver,71,UnH,1891,Louisville Colonels,82,24,59,76,376,0,0,Inactive,Activate,QS 100,Sell
SP,Ryan Weathers,56,2024 MLB,2024,Miami Marlins,70,68,75,55,10,0,2,Inactive,Activate,Locked,
1B,Bob Watson,70,Snapshot,1977,Houston Astros,67,80,75,85,219,0,0,Inactive,Activate,QS 100,Sell
RP,Gary Waslewski,54,Snapshot,1971,New York Yankees,44,92,51,18,18,0,0,Inactive,Activate,QS 5,Sell
SS,U L Washington,51,Snapshot,1983,Kansas City Royals,57,34,69,74,21,0,0,Inactive,Activate,QS 5,Sell
SP,Jack Warhop,58,UnH,1914,New York Yankees,36,74,101,95,29,0,0,Inactive,Activate,QS 5,Sell
RP,Thad Ward,43,2024 MLB,2024,Washington Nationals,61,68,57,41,10,0,2,Inactive,Activate,Locked,
RP,Andrew Wantz,51,2024 MLB,2024,Los Angeles Angels,74,65,68,36,9,0,2,Inactive,Activate,Locked,
SP,Chien-Ming Wang,60,HaH,2006,New York Yankees,27,95,90,69,59,0,0,Inactive,Activate,QS 25,Sell
SS,Taylor Walls,57,2024 MLB,2024,Tampa Bay Rays,56,51,89,64,8,0,2,Inactive,Activate,QS 5,Sell
LF,Lee Walls,62,RS,1956,Pittsburgh Pirates,64,62,74,92,41,0,0,Inactive,Activate,QS 25,Sell
LF,Matt Wallner,79,2024 MLB,2024,Minnesota Twins,76,78,81,59,377,0,2,Reserve,Deactivate,QS 100,Sell
RP,Jeff Wallace,40,UnH,2001,Tampa Bay Devil Rays,67,96,12,20,155,0,1,Inactive,Activate,Locked,
1B,Brett Wallace,47,Snapshot,2011,Houston Astros,68,39,73,55,42,0,0,Inactive,Activate,QS 5,Sell
SP,Taijuan Walker,68,Snapshot,2017,Arizona Diamondbacks,56,78,63,58,77,0,0,Inactive,Activate,QS 25,Sell
SP,Ryan Walker,52,2024 MLB,2024,San Francisco Giants,79,69,75,52,9,0,2,Inactive,Activate,Locked,
RP,Josh Walker,53,2024 MLB,2024,New York Mets,80,67,64,23,9,0,2,Inactive,Activate,Locked,
RF,Jordan Walker,79,2024 MLB,2024,St. Louis Cardinals,73,86,69,76,593,0,2,Reserve,Deactivate,Locked,
1B,Christian Walker,74,2024 MLB,2024,Arizona Diamondbacks,67,79,78,78,259,0,2,Inactive,Activate,Locked,
SP,Matt Waldron,64,2024 MLB,2024,San Diego Padres,73,71,85,59,57,0,2,Inactive,Activate,Locked,
SS,Honus Wagner,98,SE,1902,Pittsburgh Pirates,107,50,72,77,13 159,0,0,Reserve,Deactivate,QS 4 000,Sell
2B,Heinie Wagner,46,Snapshot,1915,Boston Red Sox,59,27,89,73,25,0,0,Inactive,Activate,QS 5,Sell
2B,Heinie Wagner,46,Snapshot,1915,Boston Red Sox,59,27,89,73,25,0,0,Inactive,Activate,QS 5,Sell
1B,LaMonte Wade Jr.,75,2024 MLB,2024,San Francisco Giants,68,79,99,62,565,0,2,Inactive,Activate,Locked,
SP,Jake Wade,40,UnH,1942,Chicago White Sox,58,74,23,86,33,0,0,Inactive,Activate,QS 5,Sell
RP,Austin Voth,50,2024 MLB,2024,Seattle Mariners,67,65,73,45,8,0,2,Inactive,Activate,Locked,
RF,Bill Voss,49,Snapshot,1971,Milwaukee Brewers,55,80,69,69,21,0,0,Inactive,Activate,QS 5,Sell
RP,Dave Von Ohlen,53,RS,1983,St. Louis Cardinals,32,88,76,18,623,0,0,Inactive,Activate,QS 5,Sell
RP,Dave Von Ohlen,53,RS,1983,St. Louis Cardinals,32,88,76,18,623,0,0,Inactive,Activate,QS 5,Sell
SS,Anthony Volpe,71,2024 MLB,2024,New York Yankees,60,74,73,72,1 247,0,2,Reserve,Deactivate,QS 100,Sell
1B,Luke Voit,65,RS,2018,New York Yankees,63,90,74,37,484,0,2,Inactive,Activate,QS 25,Sell
SP,Bill Voiselle,59,HaH,1944,New York Giants,77,64,54,91,29,0,0,Inactive,Activate,QS 5,Sell
C,Ozzie Virgil,50,All-Star,1987,Atlanta Braves,49,90,73,58,386,0,0,Inactive,Activate,QS 5,Sell
3B,David Villar,66,2024 MLB,2024,San Francisco Giants,61,81,73,54,72,0,2,Inactive,Activate,Locked,
3B,Christian Villanueva,45,RS,2018,San Diego Padres,52,84,70,50,18,0,0,Inactive,Activate,QS 5,Sell
RF,Matt Vierling,60,2024 MLB,2024,Detroit Tigers,68,49,67,75,55,0,2,Inactive,Activate,Locked,
3B,Mark Vientos,65,2024 MLB,2024,New York Mets,66,79,68,43,46,0,2,Inactive,Activate,Locked,
1B,George Vico,47,RS,1948,Detroit Tigers,67,60,58,49,19,0,0,Inactive,Activate,QS 5,Sell
LF,Dayan Viciedo,50,UnH,2013,Chicago White Sox,68,74,55,56,27,0,0,Inactive,Activate,QS 5,Sell
SP,Lee Viau,69,Snapshot,1889,Cincinnati Red Stockings,59,77,60,110,46,0,0,Inactive,Activate,QS 25,Sell
RP,Will Vest,74,2024 MLB,2024,Detroit Tigers,93,74,78,17,851,0,2,Reserve,Deactivate,Locked,
RP,Nick Vespi,61,2024 MLB,2024,Baltimore Orioles,71,71,76,21,89,0,2,Inactive,Activate,Locked,
RP,Alex Vesia,59,2024 MLB,2024,Los Angeles Dodgers,112,66,69,16,9,0,2,Inactive,Activate,QS 5,Sell
RF,Will Venable,60,RS,2009,San Diego Padres,58,75,67,94,49,0,0,Inactive,Activate,QS 25,Sell
DH,Nelson Velazquez,60,2024 MLB,2024,Kansas City Royals,63,82,66,-,58,0,2,Inactive,Activate,Locked,
C,Christian Vazquez,63,2024 MLB,2024,Minnesota Twins,65,39,63,79,51,0,2,Inactive,Activate,QS 25,Sell
1B,Mo Vaughn,72,Snapshot,1997,Boston Red Sox,74,97,94,34,620,0,0,Inactive,Activate,QS 100,Sell
1B,Farmer Vaughn,72,UnH,1898,Cincinnati Reds,82,52,51,72,169,0,0,Inactive,Activate,QS 100,Sell
1B,Andrew Vaughn,67,2024 MLB,2024,Chicago White Sox,74,79,65,63,68,0,2,Inactive,Activate,Locked,
SP,Randy Vasquez,61,2024 MLB,2024,San Diego Padres,75,70,70,54,66,0,2,Inactive,Activate,Locked,
LF,Daulton Varsho,80,2024 MLB,2024,Toronto Blue Jays,62,86,69,111,2 351,0,2,Inactive,Activate,Locked,
SP,Louie Varland,78,2024 MLB,2024,Minnesota Twins,80,72,86,52,283,0,2,Inactive,Activate,Locked,
RP,Gus Varland,46,2024 MLB,2024,Los Angeles Dodgers,70,66,61,38,8,0,2,Inactive,Activate,QS 5,Sell
2B,Miguel Vargas,67,2024 MLB,2024,Los Angeles Dodgers,69,69,77,45,57,0,2,Inactive,Activate,QS 25,Sell
3B,Ildemaro Vargas,54,2024 MLB,2024,Washington Nationals,70,29,58,63,10,0,2,Inactive,Activate,Locked,
SP,Johnny Vander Meer,62,RS,1937,Cincinnati Reds,96,114,10,74,184,0,1,Inactive,Activate,Locked,
SP,Sandy Vance,57,RS,1970,Los Angeles Dodgers,34,84,70,71,33,0,0,Inactive,Activate,QS 5,Sell
RP,Todd Van Poppel,58,Snapshot,2001,Chicago Cubs,113,73,41,16,27,0,0,Inactive,Activate,QS 5,Sell
C,Dave Valle,48,Snapshot,1990,Seattle Mariners,48,73,99,59,24,0,0,Inactive,Activate,QS 5,Sell
C,Dave Valle,48,Snapshot,1990,Seattle Mariners,48,73,99,59,24,0,0,Inactive,Activate,QS 5,Sell
SS,Jose Valentin,40,Snapshot,1998,Milwaukee Brewers,50,77,85,60,37,0,0,Inactive,Activate,QS 5,Sell
SS,Jose Valentin,40,Snapshot,1998,Milwaukee Brewers,50,77,85,60,37,0,0,Inactive,Activate,QS 5,Sell
2B,Enmanuel Valdez,64,2024 MLB,2024,Boston Red Sox,68,77,74,50,48,0,2,Inactive,Activate,Locked,
3B,Gio Urshela,83,2024 MLB,2024,Detroit Tigers,87,59,58,69,1 232,0,2,Reserve,Deactivate,Locked,
SP,John Urrea,71,RS,1977,St. Louis Cardinals,54,76,77,54,227,0,0,Inactive,Activate,QS 100,Sell
3B,Luis Urias,61,2024 MLB,2024,Seattle Mariners,65,74,76,67,63,0,2,Inactive,Activate,QS 25,Sell
SP,Jose Urena,58,2024 MLB,2024,Texas Rangers,70,72,66,67,11,0,2,Inactive,Activate,Locked,
CF,Del Unser,41,RS,1968,Washington Senators,70,14,69,60,32,0,0,Inactive,Activate,QS 5,Sell
SP,Tom Underwood,62,Snapshot,1982,Oakland Athletics,50,83,45,53,55,0,0,Inactive,Activate,QS 25,Sell
LF,Tuck Turner,79,SE,1894,Philadelphia Phillies,141,11,44,64,832,0,0,Active,Deactivate,QS 100,Sell
SS,Trea Turner,96,2024 MLB,2024,Philadelphia Phillies,87,76,64,66,6 574,0,2,Reserve,Deactivate,Locked,
SS,Trea Turner,96,HaH,2021,Washington Nationals,100,71,56,84,16 525,0,0,Active,Deactivate,QS 4 000,Sell
SP,Spencer Turnbull,51,2024 MLB,2024,Philadelphia Phillies,63,71,68,59,10,0,2,Inactive,Activate,Locked,
2B,Brice Turang,71,2024 MLB,2024,Milwaukee Brewers,70,39,80,89,1 087,0,2,Inactive,Activate,Locked,
SP,John Tudor,56,Snapshot,1987,St. Louis Cardinals,45,74,68,67,19,0,0,Inactive,Activate,QS 5,Sell
2B,Dasher Troy,58,UnH,1884,New York Metropolitans,73,46,60,64,19,0,0,Inactive,Activate,QS 5,Sell
3B,Jared Triolo,69,2024 MLB,2024,Pittsburgh Pirates,73,24,76,79,76,0,2,Inactive,Activate,Locked,
RP,Ken Trinkle,43,UnH,1949,Philadelphia Phillies,33,86,70,21,17,0,0,Inactive,Activate,QS 5,Sell
C,Jose Trevino,69,2024 MLB,2024,New York Yankees,68,51,54,98,52,0,2,Inactive,Activate,QS 25,Sell
C,Mike Tresh,54,RS,1939,Chicago White Sox,59,16,103,70,18,0,0,Inactive,Activate,QS 5,Sell
LF,George Treadway,53,UnH,1894,Brooklyn Grooms,65,54,83,61,23,0,0,Inactive,Activate,QS 5,Sell
SP,Bill Travers,40,Snapshot,1979,Milwaukee Brewers,43,59,89,75,42,0,0,Inactive,Activate,QS 5,Sell
LF,Taylor Trammell,65,2024 MLB,2024,Seattle Mariners,60,78,79,86,57,0,2,Inactive,Activate,Locked,
SP,Billy Traber,51,RS,2003,Cleveland,64,58,67,53,20,0,0,Inactive,Activate,QS 5,Sell
SS,Ezequiel Tovar,75,2024 MLB,2024,Colorado Rockies,68,64,55,88,380,0,2,Inactive,Activate,Locked,
SP,Touki Toussaint,41,2024 MLB,2024,Chicago White Sox,72,69,48,58,20,0,2,Inactive,Activate,Locked,
SP,Mike Torrez,41,Snapshot,1981,Boston Red Sox,47,72,57,66,21,0,0,Inactive,Activate,QS 5,Sell
3B,Abraham Toro,63,2024 MLB,2024,Oakland Athletics,68,54,71,55,69,0,2,Inactive,Activate,Locked,
1B,Spencer Torkelson,75,2024 MLB,2024,Detroit Tigers,61,103,79,63,841,0,2,Inactive,Activate,Locked,
SS,Specs Toporcer,58,RS,1922,St. Louis Cardinals,78,49,57,57,23,0,0,Inactive,Activate,QS 5,Sell
SP,Steve Toole,42,UnH,1887,Brooklyn Grays,50,91,18,105,19,0,0,Inactive,Activate,QS 5,Sell
RP,Michael Tonkin,65,2024 MLB,2024,New York Mets,93,69,76,18,44,0,2,Inactive,Activate,Locked,
1B,Michael Toglia,50,2024 MLB,2024,Colorado Rockies,59,74,74,90,11,0,2,Inactive,Activate,Locked,
C,Al Todd,49,Snapshot,1936,Pittsburgh Pirates,59,35,53,69,23,0,0,Inactive,Activate,QS 5,Sell
RP,Ben Tincup,49,UnH,1915,Philadelphia Phillies,46,73,70,24,17,0,0,Inactive,Activate,QS 5,Sell
SP,Mark Thurmond,68,RS,1983,San Diego Padres,41,89,71,67,49,0,0,Inactive,Activate,QS 25,Sell
RP,Trent Thornton,51,2024 MLB,2024,Seattle Mariners,63,67,76,35,9,0,2,Inactive,Activate,Locked,
LF,Jack Thoney,52,UnH,1908,Boston Red Sox,59,77,52,93,17,0,0,Inactive,Activate,QS 5,Sell
SP,John Thomson,50,RS,1997,Colorado Rockies,45,65,74,67,52,0,0,Inactive,Activate,QS 5,Sell
SP,Zack Thompson,67,2024 MLB,2024,St. Louis Cardinals,83,74,71,52,51,0,2,Inactive,Activate,Locked,
CF,Trayce Thompson,64,2024 MLB,2024,New York Mets,57,82,85,60,44,0,2,Inactive,Activate,Locked,
RP,Ryan Thompson,62,2024 MLB,2024,Arizona Diamondbacks,63,74,79,17,50,0,2,Inactive,Activate,Locked,
RP,Keegan Thompson,50,2024 MLB,2024,Chicago Cubs,73,69,59,57,9,0,2,Inactive,Activate,Locked,
RP,Junior Thompson,56,Snapshot,1946,New York Giants,76,78,21,18,121,0,1,Inactive,Activate,QS 5,Sell
RF,Lane Thomas,69,2024 MLB,2024,Washington Nationals,68,77,69,73,53,0,2,Inactive,Activate,Locked,
1B,Frank Thomas,63,Snapshot,1957,Pittsburgh Pirates,69,76,56,53,71,0,0,Inactive,Activate,QS 25,Sell
CF,Alek Thomas,68,2024 MLB,2024,Arizona Diamondbacks,69,52,62,78,46,0,2,Inactive,Activate,Locked,
1B,Matt Thaiss,60,2024 MLB,2024,Los Angeles Angels,59,64,86,71,115,0,2,Inactive,Activate,Locked,
SP,Walt Terrell,67,Snapshot,1985,Detroit Tigers,55,90,50,76,57,0,0,Inactive,Activate,QS 25,Sell
SS,Garry Templeton,63,All-Star,1977,St. Louis Cardinals,91,37,31,61,55,0,0,Inactive,Activate,QS 25,Sell
1B,Rowdy Tellez,62,2024 MLB,2024,Pittsburgh Pirates,65,86,78,57,59,0,2,Inactive,Activate,Locked,
1B,Patsy Tebeau,63,UnH,1893,Cleveland Spiders,92,39,55,52,91,0,0,Inactive,Activate,QS 25,Sell
C,Birdie Tebbetts,72,Snapshot,1940,Detroit Tigers,84,44,67,65,327,0,0,Reserve,Deactivate,QS 100,Sell
RF,Tyrone Taylor,66,2024 MLB,2024,New York Mets,63,77,58,78,42,0,2,Inactive,Activate,Locked,
2B,Samad Taylor,74,2024 MLB,2024,Seattle Mariners,76,44,78,63,388,0,2,Inactive,Activate,Locked,
RP,Josh Taylor,50,2024 MLB,2024,Kansas City Royals,79,65,74,13,11,0,2,Inactive,Activate,Locked,
LF,Chris Taylor,78,2024 MLB,2024,Los Angeles Dodgers,73,74,82,80,1 051,0,2,Inactive,Activate,QS 100,Sell
RP,Blake Taylor,49,2024 MLB,2024,Texas Rangers,53,78,55,21,9,0,2,Inactive,Activate,Locked,
RP,Julian Tavarez,78,SE,1995,Cleveland,69,80,79,18,372,0,0,Reserve,Deactivate,QS 100,Sell
CF,Mike Tauchman,62,2024 MLB,2024,Chicago Cubs,63,51,95,58,82,0,2,Inactive,Activate,Locked,
CF,Willie Tasby,44,RS,1959,Baltimore Orioles,60,74,65,63,15,0,0,Inactive,Activate,QS 5,Sell
CF,Willie Tasby,44,RS,1959,Baltimore Orioles,60,74,65,63,15,0,0,Inactive,Activate,QS 5,Sell
RF,Tony Tarasco,44,Snapshot,1995,Montreal Expos,58,76,70,63,14,0,0,Inactive,Activate,QS 5,Sell
RF,Tony Tarasco,44,Snapshot,1995,Montreal Expos,58,76,70,63,14,0,0,Inactive,Activate,QS 5,Sell
RF,Tony Tarasco,44,Snapshot,1995,Montreal Expos,58,76,70,63,14,0,0,Inactive,Activate,QS 5,Sell
RP,Taylor Tankersley,56,RS,2006,Florida Marlins,118,77,24,10,16,0,0,Inactive,Activate,QS 5,Sell
SP,Jameson Taillon,73,SE,2016,Pittsburgh Pirates,61,76,109,67,160,0,0,Reserve,Deactivate,QS 100,Sell
SP,Jameson Taillon,77,2024 MLB,2024,Chicago Cubs,76,72,89,68,558,0,2,Reserve,Deactivate,Locked,
SP,Bob Sykes,45,RS,1977,Detroit Tigers,41,72,58,56,17,0,0,Inactive,Activate,QS 5,Sell
LF,Ron Swoboda,46,RS,1965,New York Mets,44,91,71,87,20,0,0,Inactive,Activate,QS 5,Sell
SP,Park Swartzel,56,RS,1889,Kansas City Cowboys,48,66,86,111,17,0,0,Inactive,Activate,QS 5,Sell
SP,Park Swartzel,56,RS,1889,Kansas City Cowboys,48,66,86,111,17,0,0,Inactive,Activate,QS 5,Sell
RP,Erik Swanson,70,2024 MLB,2024,Toronto Blue Jays,98,67,77,23,583,0,2,Reserve,Deactivate,Locked,
RP,Brent Suter,74,2024 MLB,2024,Cincinnati Reds,58,84,75,33,687,0,2,Reserve,Deactivate,Locked,
SP,Rick Sutcliffe,65,HaH,1982,Cleveland,72,83,37,82,64,0,0,Inactive,Activate,QS 25,Sell
RP,Cole Sulser,49,2024 MLB,2024,New York Mets,80,65,66,18,9,0,2,Inactive,Activate,Locked,
CF,Cory Sullivan,56,RS,2005,Colorado Rockies,78,32,66,60,17,0,0,Inactive,Activate,QS 5,Sell
C,Brett Sullivan,53,2024 MLB,2024,San Diego Padres,71,39,66,35,9,0,2,Inactive,Activate,Locked,
C,Clyde Sukeforth,50,UnH,1931,Cincinnati Reds,68,7,73,52,16,0,0,Inactive,Activate,QS 5,Sell
SP,Willie Sudhoff,76,Snapshot,1903,St. Louis Browns,52,78,80,104,284,0,0,Reserve,Deactivate,QS 100,Sell
RP,Robert Suarez,66,2024 MLB,2024,San Diego Padres,80,73,72,15,69,0,2,Inactive,Activate,Locked,
SP,Ranger Suarez,79,2024 MLB,2024,Philadelphia Phillies,76,81,78,60,351,0,2,Reserve,Deactivate,QS 100,Sell
3B,Eugenio Suarez,77,2024 MLB,2024,Arizona Diamondbacks,64,77,81,78,339,0,2,Reserve,Deactivate,Locked,
LF,Chris Stynes,66,Snapshot,1997,Cincinnati Reds,78,68,61,79,54,0,0,Inactive,Activate,QS 25,Sell
LF,Chris Stynes,66,Snapshot,1997,Cincinnati Reds,78,68,61,79,54,0,0,Inactive,Activate,QS 25,Sell
LF,Chris Stynes,66,Snapshot,1997,Cincinnati Reds,78,68,61,79,54,0,0,Inactive,Activate,QS 25,Sell
C,Garrett Stubbs,61,2024 MLB,2024,Philadelphia Phillies,63,29,79,63,57,0,2,Inactive,Activate,Locked,
RP,Peter Strzelecki,66,2024 MLB,2024,Arizona Diamondbacks,85,74,73,20,64,0,2,Inactive,Activate,Locked,
SP,Marcus Stroman,83,2024 MLB,2024,New York Yankees,71,93,80,62,6 314,0,2,Reserve,Deactivate,QS 1 000,Sell
SP,Ross Stripling,75,2024 MLB,2024,Oakland Athletics,74,69,90,55,325,0,2,Inactive,Activate,Locked,
SP,Nick Strincevich,68,Snapshot,1944,Pittsburgh Pirates,39,79,103,69,80,0,0,Inactive,Activate,QS 25,Sell
2B,Cub Stricker,50,UnH,1888,Cleveland Blues,66,28,83,61,21,0,0,Inactive,Activate,QS 5,Sell
CF,Myles Straw,64,2024 MLB,2024,Cleveland Guardians,71,9,73,88,61,0,2,Inactive,Activate,Locked,
RP,Chris Stratton,63,2024 MLB,2024,Kansas City Royals,68,71,78,21,56,0,2,Inactive,Activate,Locked,
SP,Dan Straily,53,Snapshot,2018,Miami Marlins,48,73,52,53,21,0,0,Inactive,Activate,QS 5,Sell
